A,B,C,D
int,nvarchar,int,nvarchar
numeric,category,numeric,category
1,a,96,C
2,c,94,A
3,d,19,C
4,d,149,C
5,d,199,A
6,d,126,C
7,a,152,B
8,b,60,C
9,a,164,B
10,b,162,B
11,d,179,C
12,c,101,C
13,e,171,C
14,e,129,A
15,d,155,C
16,a,158,A
17,a,150,B
18,a,88,B
19,d,138,C
20,e,43,C
21,c,141,C
22,a,84,B
23,e,66,C
24,e,200,C
25,a,146,B
26,b,78,C
27,b,34,C
28,d,83,C
29,b,134,B
30,b,131,C
31,a,111,B
32,e,172,A
33,c,25,B
34,a,114,A
35,a,68,B
36,c,58,C
37,b,142,A
38,e,31,C
39,e,27,C
40,d,35,C
41,b,152,A
42,b,102,A
43,e,150,B
44,b,106,B
45,c,176,C
46,e,106,C
47,d,84,A
48,c,171,B
49,e,4,A
50,b,33,B
51,e,147,A
52,d,85,B
53,c,157,A
54,e,79,A
55,a,172,B
56,d,62,C
57,d,113,B
58,c,195,C
59,c,155,C
60,e,55,B
61,b,83,A
62,a,153,A
63,b,138,B
64,a,76,B
65,a,152,B
66,e,200,B
67,e,94,C
68,e,160,C
69,a,168,B
70,c,187,A
71,c,20,A
72,c,171,B
73,c,143,C
74,e,117,B
75,c,145,A
76,b,164,B
77,c,185,A
78,d,106,C
79,b,128,A
80,c,68,A
81,d,44,A
82,a,157,B
83,c,80,B
84,a,116,A
85,b,196,A
86,e,114,C
87,c,55,C
88,b,46,C
89,b,61,B
90,b,83,A
91,b,199,C
92,c,141,A
93,b,17,C
94,b,46,B
95,a,66,C
96,a,200,B
97,a,200,A
98,a,132,B
99,a,4,B
100,e,67,B
101,e,188,B
102,e,113,C
103,b,170,A
104,b,32,A
105,e,187,C
106,e,65,C
107,e,20,C
108,b,154,C
109,a,64,A
110,d,98,A
111,a,154,C
112,a,47,B
113,d,97,B
114,b,170,B
115,a,45,B
116,b,159,B
117,b,141,A
118,c,123,B
119,c,59,B
120,b,23,B
121,d,197,C
122,b,187,C
123,a,155,B
124,a,133,B
125,e,146,B
126,a,20,B
127,e,1,B
128,d,32,C
129,e,118,A
130,e,36,C
131,a,29,B
132,c,67,C
133,d,3,C
134,c,193,B
135,e,14,C
136,b,187,B
137,c,140,B
138,c,139,C
139,e,22,B
140,c,64,B
141,c,145,C
142,c,170,C
143,e,92,B
144,e,124,B
145,c,177,C
146,a,93,B
147,d,184,A
148,c,61,C
149,e,86,B
150,a,118,C
151,d,92,B
152,d,30,C
153,a,161,C
154,c,22,C
155,b,147,B
156,a,166,B
157,a,103,C
158,b,115,A
159,d,40,A
160,c,176,C
161,e,130,C
162,b,192,A
163,d,61,C
164,a,39,C
165,d,62,C
166,d,168,A
167,c,136,C
168,e,7,A
169,c,96,B
170,c,28,C
171,d,196,B
172,c,137,B
173,c,76,B
174,d,106,B
175,c,68,B
176,e,180,A
177,b,143,A
178,b,87,C
179,d,141,A
180,c,176,C
181,b,25,A
182,e,148,C
183,d,26,C
184,d,66,C
185,b,137,B
186,e,23,A
187,e,47,C
188,a,33,B
189,b,171,A
190,b,121,C
191,e,8,C
192,e,44,B
193,d,191,B
194,a,180,B
195,c,3,A
196,e,135,C
197,c,200,B
198,a,36,B
199,c,131,C
200,d,180,C
201,a,83,B
202,b,57,C
203,c,103,C
204,d,3,B
205,c,47,B
206,d,25,B
207,a,185,C
208,c,136,A
209,e,141,C
210,e,150,A
211,c,77,B
212,e,190,A
213,c,56,B
214,c,73,A
215,c,188,A
216,b,36,A
217,d,176,C
218,e,134,B
219,d,76,A
220,a,169,A
221,d,48,A
222,c,189,C
223,e,4,C
224,b,88,A
225,d,66,C
226,c,130,A
227,a,86,B
228,b,175,B
229,d,104,A
230,b,42,B
231,e,105,A
232,e,184,C
233,a,138,B
234,c,104,B
235,b,129,C
236,b,174,A
237,b,151,C
238,b,118,C
239,c,101,B
240,c,86,C
241,a,140,B
242,e,3,A
243,d,52,C
244,b,174,A
245,b,15,B
246,a,40,A
247,b,193,B
248,d,165,B
249,a,3,C
250,e,123,C
251,b,184,A
252,e,75,A
253,d,15,C
254,c,169,A
255,d,26,C
256,c,198,B
257,a,6,B
258,c,83,C
259,e,100,A
260,b,176,A
261,c,6,C
262,e,25,A
263,c,4,C
264,c,4,C
265,b,154,B
266,c,14,A
267,b,120,B
268,d,107,C
269,d,162,C
270,a,80,B
271,c,105,B
272,a,66,A
273,c,35,B
274,e,103,C
275,d,50,C
276,b,98,C
277,e,51,C
278,a,34,A
279,e,167,B
280,a,124,A
281,d,10,A
282,e,64,A
283,e,51,B
284,a,66,B
285,e,8,A
286,e,43,B
287,a,148,C
288,e,91,C
289,b,64,A
290,c,104,A
291,e,26,A
292,c,172,C
293,e,191,A
294,a,77,A
295,d,44,C
296,a,109,C
297,d,173,A
298,e,101,C
299,c,103,B
