mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,car_name
20.8,6,200,85,3070,16.7,78,"""C1""","""1 mercury zephyr"""
20.3,5,131,103,2830,15.9,78,"""C2""","""audi 5000"""
31,4,79,67,2000,16,74,"""C2""","""fiat x1.9"""
28.1,4,141,80,3230,20.4,81,"""C2""","""peugeot 505s turbo diesel"""
23,4,140,83,2639,17,75,"""C1""","""ford pinto"""
20.8,6,200,85,3070,16.7,78,"""C1""","""2 mercury zephyr"""
17.6,8,302,129,3725,13.4,79,"""C1""","""ford ltd landau"""
18,6,225,95,3785,19,75,"""C1""","""plymouth fury"""
17,6,231,110,3907,21,75,"""C1""","""buick century"""
12,8,350,180,4499,12.5,73,"""C1""","""oldsmobile vista cruiser"""
34.4,4,98,65,2045,16.2,81,"""C1""","""ford escort 4w"""
24,4,121,110,2660,14,73,"""C2""","""saab 99le"""
14,8,351,153,4154,13.5,71,"""C1""","""ford galaxie 500"""
24.5,4,151,88,2740,16,77,"""C1""","""2 pontiac sunbird coupe"""
24.5,4,151,88,2740,16,77,"""C1""","""1 pontiac sunbird coupe"""
