mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,car_name
20.8,6,200,85,3070,16.7,78,"""C1""","""mercury zephyr"""
20.3,5,131,103,2830,15.9,78,"""C2""","""audi 5000"""
31,4,79,67,2000,16,74,"""C2""","""fiat x1.9"""
28.1,4,141,80,3230,20.4,81,"""C2""","""peugeot 505s turbo diesel"""
23,4,140,83,2639,17,75,"""C1""","""ford pinto"""
20.8,6,200,85,3070,16.7,78,"""C1""","""mercury zephyr"""
17.6,8,302,129,3725,13.4,79,"""C1""","""ford ltd landau"""
18,6,225,95,3785,19,75,"""C1""","""plymouth fury"""
17,6,231,110,3907,21,75,"""C1""","""buick century"""
12,8,350,180,4499,12.5,73,"""C1""","""oldsmobile vista cruiser"""
34.4,4,98,65,2045,16.2,81,"""C1""","""ford escort 4w"""
24,4,121,110,2660,14,73,"""C2""","""saab 99le"""
14,8,351,153,4154,13.5,71,"""C1""","""ford galaxie 500"""
24.5,4,151,88,2740,16,77,"""C1""","""pontiac sunbird coupe"""
21,4,122,86,2226,16.5,72,"""C1""","""ford pinto runabout"""
19,6,232,100,2901,16,74,"""C1""","""amc hornet"""
28,4,90,75,2125,14.5,74,"""C1""","""dodge colt"""
29.9,4,98,65,2380,20.7,81,"""C1""","""ford escort 2h"""
27.2,4,141,71,3190,24.8,79,"""C2""","""peugeot 504"""
28,4,97,92,2288,17,72,"""C3""","""datsun 510 (sw)"""
28,4,151,90,2678,16.5,80,"""C1""","""chevrolet citation"""
26,4,122,80,2451,16.5,74,"""C1""","""ford pinto"""
26,4,91,70,1955,20.5,71,"""C1""","""plymouth cricket"""
28.8,6,173,115,2595,11.3,79,"""C1""","""chevrolet citation"""
30,4,146,67,3250,21.8,80,"""C2""","""mercedes-benz 240d"""
27.2,4,141,71,3190,24.8,79,"""C2""","""peugeot 504"""
30,4,146,67,3250,21.8,80,"""C2""","""mercedes-benz 240d"""
22,4,140,72,2408,19,71,"""C1""","""chevrolet vega (sw)"""
31,4,119,82,2720,19.4,82,"""C1""","""chevy s-10"""
22,4,121,98,2945,14.5,75,"""C2""","""volvo 244dl"""
29.5,4,97,71,1825,12.2,76,"""C2""","""volkswagen rabbit"""
15,8,318,150,3399,11,73,"""C1""","""dodge dart custom"""
24,4,113,95,2278,15.5,72,"""C3""","""toyota corona hardtop"""
19,4,122,85,2310,18.5,73,"""C1""","""ford pinto"""
